"","x"
"1",31.59926267465
"2",28.8616687381
"3",29.70083069855
"4",33.2363163352
"5",34.24055933705
"6",38.56017992035
"7",36.7855587253
"8",29.164317314
"9",28.73785795705
"10",26.92196650165
"11",26.8806962413
"12",26.70185844645
"13",26.9357232551
"14",27.99499327075
"15",27.47223663965
"16",25.2573993342
"17",28.1738310656
"18",40.9400982672
"19",43.2237193399
"20",52.86720350835
"21",50.85871750465
"22",42.02688178975
"23",42.71471946225
"24",45.71369171435
"25",44.14542182105
"26",37.51466665815
"27",36.9506397667
"28",34.4744241457
"29",33.2088028283
"30",27.80239872245
"31",28.0362635311
"32",29.04050653295
"33",26.1653450619
"34",13.99061825865
"35",16.93456349695
"36",29.64580368475
"37",32.86488399205
"38",46.73169146965
"39",50.39098788735
"40",65.82606525825
"41",67.5181459326
"42",74.8092252611
"43",71.68644222795
"44",58.3011211211
"45",57.76460773655
"46",55.5497704311
"47",54.21536534645
"48",48.4787991578
"49",47.25444810075
"50",42.02688178975
"51",40.78877397925
"52",35.6575049424
"53",33.7590729663
"54",25.54629115665
"55",27.08704754305
"56",33.63526218525
"57",31.87439774365
"58",24.58331841515
"59",24.50077789445
"60",24.14310230475
"61",24.11558879785
"62",24.0468050306
"63",25.49126414285
"64",31.48920864705
"65",31.640532935
"66",32.34212736095
"67",36.46915339595
"68",53.9815005378
"69",55.9074460208
"70",63.9413900356
"71",70.4070641571
"72",98.73221951065
"73",95.3343014085
"74",80.9447372998
"75",75.56584670085
"76",52.78466298765
"77",53.52752767395
"78",56.80163499505
"79",55.86617576045
"80",51.8629605065
"81",53.7889059895
"82",61.9329040319
"83",63.15725508895
"84",68.3160376327
"85",77.21665711485
"86",115.35037767825
"87",110.09529786035
"88",87.9056545455
"89",85.9521955556
"90",79.78917001
"91",74.28646863
"92",68.78376725
"93",63.28106587
"94",59.08525606775
"95",57.40693214685
"96",50.3222041201
"97",48.79520448715
"98",42.1231790639
"99",41.7379899673
"100",40.1146930602
"101",37.3358288633
"102",25.3949668687
"103",24.6245886755
"104",21.3504813544
"105",21.14413005265
"106",20.2774545853
"107",21.6531299303
"108",27.5685339138
"109",27.69234469485
"110",28.2563715863
"111",34.79082947505
"112",62.4006336492
"113",62.0979850733
"114",60.79109349555
"115",70.11817233465
"116",110.06778435345
"117",105.83070429085
"118",87.97443831275
"119",81.04103457395
"120",51.6703659582
"121",52.7433927273
"122",57.32439162615
"123",60.52971518
"124",74.2314416162
"125",69.4165779087
"126",48.7264207199
"127",46.5803671817
"128",37.45963964435
"129",36.042694039
"130",30.08601979515
"131",34.76331596815
"132",54.60055444305
"133",57.228094352
"134",68.3710646465
"135",69.76049674495
"136",75.7721980026
"137",74.4790631783
"138",69.0313888121
"139",67.97211879645
"140",63.5011739252
"141",62.2355526078
"142",56.8704187623
"143",56.33390537775
"144",54.07779781195
"145",52.2206360962
"146",44.20044883485
"147",43.56763817615
"148",40.8575577465
"149",40.3623146223
"150",38.28504485135
"151",37.51466665815
"152",34.3368566112
"153",33.27758659555
"154",28.8616687381
"155",30.11353330205
"156",35.42364013375
"157",36.00142377865
"158",38.4088556324
"159",40.3623146223
"160",48.5338261716
"161",49.0015557889
"162",50.99628503915
"163",53.66509520845
"164",64.9869032978
"165",64.56044394085
"166",62.71703897855
"167",65.3996059013
"168",76.88649503205
